model,params,comment,treshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_std,f1_std,precision_std,recall_std,acc_std
<catboost.core.CatBoostClassifier object at 0x0000019C8555CB20>,"{'iterations': 7000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","w=0.1, depth=5, weight=1e-3, lr=0.1, l2=5, 7000 iter, ",0.5,0.5492,0.5,0.358,0.8288,0.4338,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019C85D35C40>,"{'iterations': 8000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","w=0.1, depth=5, weight=1e-3, lr=0.1, l2=5, 8000 iter, ",0.5,0.5495,0.5027,0.3591,0.8378,0.4338,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019C8608AD00>,"{'iterations': 5000, 'learning_rate': 0.5, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",lr=0.5,0.5,0.5719,0.5138,0.3705,0.8378,0.4585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019C859C8D60>,"{'iterations': 5000, 'learning_rate': 0.5, 'depth': 6, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.05], 'eval_metric': 'AUC'}",w=0.05,0.5,0.5587,0.5143,0.3766,0.8108,0.4769,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019C864A5CD0>,"{'iterations': 5000, 'learning_rate': 0.5, 'depth': 6, 'l2_leaf_reg': 5, 'loss_function': 'CrossEntropy', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'eval_metric': 'AUC'}",w=0.05 CrossEntropy,0.5,0.4779,0.5,0.3434,0.9189,0.3723,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019C86C90FD0>,"{'iterations': 10000, 'learning_rate': 0.1, 'depth': 7, 'l2_leaf_reg': 5, 'loss_function': 'CrossEntropy', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'eval_metric': 'AUC'}",w=0.05 CrossEntropy,0.5,0.4721,0.5061,0.348,0.9279,0.3815,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019C85FFC070>,"{'iterations': 10000, 'learning_rate': 0.5, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","w=0.1, 10k iter",0.5,0.5733,0.5191,0.3725,0.8559,0.4585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD63566A0>,"{'iterations': 10000, 'learning_rate': 0.5, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}","w=0.01, 10k iter",0.5,0.6149,0.5329,0.3991,0.8018,0.52,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019C856884F0>,"{'iterations': 10000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}","w=0.01, 10k iter",0.5,0.6051,0.5234,0.4,0.7568,0.5292,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019C85FDD2B0>,"{'iterations': 10000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.005], 'eval_metric': 'AUC'}","w=0.005, 10k iter",0.5,0.6024,0.4949,0.3967,0.6577,0.5415,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019C85D996D0>,"{'iterations': 10000, 'learning_rate': 0.01, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}","w=0.01, 10k iter, lr=0.01",0.5,0.6287,0.4891,0.4746,0.5045,0.64,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019C86524250>,"{'iterations': 10000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.001], 'eval_metric': 'AUC'}","w=0.001, 10k iter, lr=0.001",0.5,0.7409,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019C851F29D0>,"{'iterations': 15000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}","w=0.01, 15k iter, lr=0.001",0.5,0.7152,0.3133,0.4727,0.2342,0.6492,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD60849D0>,"{'iterations': 20000, 'learning_rate': 0.0001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}","w=0.01, 20k iter, lr=0.0001",0.5,0.7149,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019C86DC1F70>,"{'iterations': 20000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}","w=0.01, 20k iter, lr=0.001",0.5,0.7156,0.3425,0.4429,0.2793,0.6338,False,0,0,0,0,0
