model,params,comment,treshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_std,f1_std,precision_std,recall_std,acc_std
<catboost.core.CatBoostClassifier object at 0x0000019CD61CE760>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 7, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.001], 'eval_metric': 'AUC'}","weight=0.001, lr=0.1, l2=7, 1000 iter, depth=5",0.5,0.748,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD7112790>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.001], 'eval_metric': 'AUC'}","weight=0.001, lr=0.1, l2=8, 1000 iter, depth=5",0.5,0.7242,0.0,0.0,0.0,0.6554,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD724F820>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 9, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.001], 'eval_metric': 'AUC'}","weight=0.001, lr=0.1, l2=9, 1000 iter, depth=5",0.5,0.7145,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD53BFBB0>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}","weight=0.01, lr=0.1, l2=5, 1000 iter, depth=5",0.5,0.634,0.5175,0.5043,0.5315,0.6615,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD677BD60>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 6, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}","weight=0.01, lr=0.1, l2=6, 1000 iter, depth=5",0.5,0.6485,0.4887,0.4909,0.4865,0.6523,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD6001A30>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 7, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}","weight=0.01, lr=0.1, l2=7, 1000 iter, depth=5",0.5,0.6484,0.4909,0.4954,0.4865,0.6554,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD74F8CA0>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}","weight=0.01, lr=0.1, l2=8, 1000 iter, depth=5",0.5,0.6482,0.4793,0.4906,0.4685,0.6523,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD74EE070>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 9, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}","weight=0.01, lr=0.1, l2=9, 1000 iter, depth=5",0.5,0.6495,0.4579,0.4757,0.4414,0.6431,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD75E3610>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","weight=0.1, lr=0.1, l2=5, 1000 iter, depth=5",0.5,0.5497,0.5014,0.3611,0.8198,0.4431,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD7099400>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 6, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","weight=0.1, lr=0.1, l2=6, 1000 iter, depth=5",0.5,0.5641,0.5124,0.369,0.8378,0.4554,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD63C60A0>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 7, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","weight=0.1, lr=0.1, l2=7, 1000 iter, depth=5",0.5,0.554,0.5234,0.377,0.8559,0.4677,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD7506D30>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","weight=0.1, lr=0.1, l2=8, 1000 iter, depth=5",0.5,0.5563,0.4972,0.3603,0.8018,0.4462,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD7328700>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 9, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","weight=0.1, lr=0.1, l2=9, 1000 iter, depth=5",0.5,0.5431,0.5169,0.3755,0.8288,0.4708,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD6084880>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 1.0], 'eval_metric': 'AUC'}","weight=1.0, lr=0.1, l2=5, 1000 iter, depth=5",0.5,0.5161,0.5037,0.3483,0.9099,0.3877,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD6A89A00>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 6, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 1.0], 'eval_metric': 'AUC'}","weight=1.0, lr=0.1, l2=6, 1000 iter, depth=5",0.5,0.5128,0.5025,0.3471,0.9099,0.3846,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD703C2E0>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 7, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 1.0], 'eval_metric': 'AUC'}","weight=1.0, lr=0.1, l2=7, 1000 iter, depth=5",0.5,0.5083,0.4937,0.3427,0.8829,0.3815,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD76AFAF0>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 1.0], 'eval_metric': 'AUC'}","weight=1.0, lr=0.1, l2=8, 1000 iter, depth=5",0.5,0.5178,0.5,0.346,0.9009,0.3846,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD76C2820>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 9, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 1.0], 'eval_metric': 'AUC'}","weight=1.0, lr=0.1, l2=9, 1000 iter, depth=5",0.5,0.5132,0.4962,0.3438,0.8919,0.3815,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD7186220>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 3, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.001], 'eval_metric': 'AUC'}","depth=3, weight=1e-3, lr=0.1, l2=5, 1000 iter, ",0.5,0.7423,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD6790A30>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 4, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.001], 'eval_metric': 'AUC'}","depth=4, weight=1e-3, lr=0.1, l2=5, 1000 iter, ",0.5,0.7559,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD6B6E430>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.001], 'eval_metric': 'AUC'}","depth=5, weight=1e-3, lr=0.1, l2=5, 1000 iter, ",0.5,0.7682,0.0,0.0,0.0,0.6554,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD7A570D0>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 6, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.001], 'eval_metric': 'AUC'}","depth=6, weight=1e-3, lr=0.1, l2=5, 1000 iter, ",0.5,0.7283,0.0339,0.2857,0.018,0.6492,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD7A574C0>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 7, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.001], 'eval_metric': 'AUC'}","depth=7, weight=1e-3, lr=0.1, l2=5, 1000 iter, ",0.5,0.743,0.0492,0.2727,0.027,0.6431,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD6A1B400>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 8, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.001], 'eval_metric': 'AUC'}","depth=8, weight=1e-3, lr=0.1, l2=5, 1000 iter, ",0.5,0.7218,0.1481,0.4167,0.0901,0.6462,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD6E0EC40>,"{'iterations': 1000, 'learning_rate': 0.1, 'depth': 9, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.001], 'eval_metric': 'AUC'}","depth=9, weight=1e-3, lr=0.1, l2=5, 1000 iter, ",0.5,0.7175,0.2029,0.5185,0.1261,0.6615,False,0,0,0,0,0
