model,params,comment,treshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_std,f1_std,precision_std,recall_std,acc_std
<catboost.core.CatBoostClassifier object at 0x000001AB0F86E8E0>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",all_features,0.001623,0.7447,0.609,0.5226,0.7297,0.68,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x000001AB0FEBEE50>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",no_features,0.002383,0.7255,0.618,0.5902,0.6486,0.7262,False,0,0,0,0,0
