model,params,comment,treshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_std,f1_std,precision_std,recall_std,acc_std
<catboost.core.CatBoostClassifier object at 0x000002404FFDE370>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",all_features,0.002271,0.7696,0.6459,0.5685,0.7477,0.72,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x00000240503A51F0>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",no_features,0.001783,0.7666,0.6549,0.5376,0.8378,0.6985,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x000002404FEEAC10>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",use_diff_features=True,0.001637,0.768,0.6416,0.5165,0.8468,0.6769,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x000002404ECEB760>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",use_ratio_features=True,0.001764,0.7773,0.6572,0.5407,0.8378,0.7015,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x000002404FF592B0>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",add_growth=True,0.0016,0.7768,0.6528,0.5311,0.8468,0.6923,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000024050050460>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",count_log_fin_vals=True,0.001573,0.7532,0.6348,0.511,0.8378,0.6708,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x000002405016F760>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",normalize_fin_columns=True,0.001786,0.7683,0.6479,0.5318,0.8288,0.6923,False,0,0,0,0,0
