model,params,comment,threshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_std,f1_std,precision_std,recall_std,acc_std
<catboost.core.CatBoostClassifier object at 0x000001A3C0758580>,"{'iterations': 500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",normalize_fin_columns=False,0.014979,0.801,0.546,0.4,0.862,0.665,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x000001A3C06D2C70>,"{'iterations': 500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","All features, drop_zeros=False",0.015198,0.84,0.599,0.453,0.883,0.72,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x000001A3C07DCA90>,"{'iterations': 500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",no_features,0.014586,0.829,0.581,0.433,0.883,0.698,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x000001A3C0A5B610>,"{'iterations': 500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",drop_zeros=True,0.014299,0.779,0.52,0.364,0.908,0.608,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x000001A3BF4C2070>,"{'iterations': 500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",use_diff_features=True,0.014463,0.83,0.574,0.425,0.883,0.689,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x000001A3C0630B50>,"{'iterations': 500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",use_ratio_features=True,0.015232,0.834,0.594,0.447,0.883,0.714,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x000001A3C0758490>,"{'iterations': 500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",add_growth=True,0.015526,0.833,0.584,0.443,0.857,0.711,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x000001A3C0A423D0>,"{'iterations': 500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",count_log_fin_vals=True,0.015261,0.821,0.576,0.434,0.857,0.702,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x000001A3BF513370>,"{'iterations': 500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",normalize_fin_columns=True,0.014581,0.829,0.576,0.428,0.883,0.692,False,0,0,0,0,0
