model,params,comment,threshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_train,f1_train,precision_train,recall_train,acc_train
<catboost.core.CatBoostClassifier object at 0x000001B306F66700>,"{'iterations': 1500, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",02 + 4,0.059998,0.746,0.662,0.53,0.883,0.692,False,0.752,0.615,0.857,0.479,0.589
<catboost.core.CatBoostClassifier object at 0x000001B307166B50>,"{'iterations': 1500, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",02 + 4 + 6,0.057419,0.738,0.651,0.522,0.865,0.683,False,0.734,0.626,0.824,0.504,0.588
<catboost.core.CatBoostClassifier object at 0x000001B30710E520>,"{'iterations': 1500, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",02 + 4 + 5 + 6,0.057271,0.731,0.634,0.5,0.865,0.658,False,0.757,0.633,0.858,0.501,0.603
CalibratedClassifierCV(),"{'base_estimator__iterations': 1500, 'base_estimator__learning_rate': 0.001, 'base_estimator__depth': 5, 'base_estimator__l2_leaf_reg': 5, 'base_estimator__loss_function': 'Logloss', 'base_estimator__random_seed': 1, 'base_estimator__use_best_model': False, 'base_estimator__verbose': False, 'base_estimator__class_weights': [1, 0.01], 'base_estimator__eval_metric': 'AUC', 'base_estimator': <catboost.core.CatBoostClassifier object at 0x000001B3073812E0>, 'cv': 3, 'ensemble': True, 'method': 'sigmoid', 'n_jobs': None}",all features,0.51194,0.828,0.075,1.0,0.039,0.772,False,0.652,0.0,0.0,0.0,0.844
CalibratedClassifierCV(),"{'base_estimator__iterations': 1500, 'base_estimator__learning_rate': 0.001, 'base_estimator__depth': 5, 'base_estimator__l2_leaf_reg': 5, 'base_estimator__loss_function': 'Logloss', 'base_estimator__random_seed': 1, 'base_estimator__use_best_model': False, 'base_estimator__verbose': False, 'base_estimator__class_weights': [1, 0.01], 'base_estimator__eval_metric': 'AUC', 'base_estimator': <catboost.core.CatBoostClassifier object at 0x000001B30B2950D0>, 'cv': 3, 'ensemble': True, 'method': 'sigmoid', 'n_jobs': None}",all features,0.241133,0.88,0.304,1.0,0.179,0.831,False,0.66,0.154,0.5,0.091,0.938
