model,params,comment,threshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_train,f1_train,precision_train,recall_train,acc_train
<catboost.core.CatBoostClassifier object at 0x000001859FA77730>,"{'iterations': 2000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",no_features,0.038319,0.726,0.647,0.505,0.901,0.665,False,0.729,0.639,0.825,0.521,0.597
<catboost.core.CatBoostClassifier object at 0x000001859F929B80>,"{'iterations': 2000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",drop_zeros=True,0.039708,0.716,0.636,0.503,0.866,0.655,False,0.712,0.587,0.848,0.449,0.563
<catboost.core.CatBoostClassifier object at 0x000001859F566D30>,"{'iterations': 2000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",use_diff_features=True,0.038547,0.724,0.641,0.5,0.892,0.658,False,0.743,0.647,0.825,0.532,0.603
<catboost.core.CatBoostClassifier object at 0x000001859FB35460>,"{'iterations': 2000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",use_ratio_features=True,0.039624,0.722,0.64,0.505,0.874,0.665,False,0.751,0.636,0.852,0.507,0.603
<catboost.core.CatBoostClassifier object at 0x000001859FB30FA0>,"{'iterations': 2000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",add_growth=True,0.039852,0.725,0.647,0.513,0.874,0.674,False,0.751,0.634,0.848,0.507,0.601
<catboost.core.CatBoostClassifier object at 0x000001859F98DB80>,"{'iterations': 2000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",count_log_fin_vals=True,0.038733,0.718,0.639,0.497,0.892,0.655,False,0.749,0.645,0.848,0.521,0.608
<catboost.core.CatBoostClassifier object at 0x000001859F8DE5B0>,"{'iterations': 2000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",normalize_fin_columns=True,0.038203,0.725,0.641,0.498,0.901,0.655,False,0.73,0.647,0.825,0.532,0.603
