model,params,comment,treshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_std,f1_std,precision_std,recall_std,acc_std
<catboost.core.CatBoostClassifier object at 0x000002320AEDA310>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",all_features,0.000495,0.7447,0.5092,0.3415,1.0,0.3415,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000023209AF9D60>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",no_features,0.000586,0.7255,0.5103,0.3426,1.0,0.3446,False,0,0,0,0,0
