model,params,comment,treshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_std,f1_std,precision_std,recall_std,acc_std
<catboost.core.CatBoostClassifier object at 0x00000167BF969D60>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",all_features,0.000701,0.7696,0.5274,0.3643,0.955,0.4154,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x00000167BF7F2FD0>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",no_features,0.000737,0.7666,0.5606,0.4,0.9369,0.4985,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x00000167BF8D7CA0>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",use_diff_features=True,0.000773,0.768,0.5568,0.3977,0.9279,0.4954,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x00000167BFA59DC0>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",use_ratio_features=True,0.000734,0.7773,0.5422,0.3786,0.955,0.4492,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x00000167BF983040>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",add_growth=True,0.000821,0.7768,0.566,0.4038,0.9459,0.5046,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x00000167BE5C1280>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",count_log_fin_vals=True,0.00084,0.7532,0.5568,0.3977,0.9279,0.4954,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x00000167BFB9FF70>,"{'iterations': 500, 'learning_rate': 0.01433, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.0006], 'eval_metric': 'AUC'}",normalize_fin_columns=True,0.000751,0.7683,0.5403,0.3796,0.9369,0.4554,False,0,0,0,0,0
